Judul,Isi,Tanggal,Kategori
VAR Diwacanakan Dipakai di Pertengahan Musim Liga 1 Indonesia,"SERANG– Anggota Komite Eksekutif (Exco) Persatuan Sepakbola Seluruh Indonesia (PSSI), Arya Sinulingga memaparkan kendala yang menyebabkan video assistant referee (VAR) belum dapat diimplementasikan pada Liga Indonesia alias Liga 1 musim depan.Menurut Arya, masalah pertama adalah infrastruktur yang masih perlu ditingkatkan, kemudian Sumber Daya Manusia (SDM), serta para teknisi yang masih harus dipersiapkan.“Infrastruktur, stadionnya, ternyata ada kebutuhan teknis khusus. Kemudian dari sisi internet, itu harus bagus di stadionnya. Kabarnya Malaysia itu enggak buat juga (pengaplikasian VAR) karena seperti itu,” kata Arya saat ditemui setelah mengikuti Kongres Biasa PSSI 2023 di Jakarta, Minggu (28/5/2023).Untuk mengatasi hal tersebut, Arya menyebut PSSI telah melakukan koordinasi dengan Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) untuk merenovasi 22 stadion di Tanah Air. Menurutnya hal itu dapat diselaraskan untuk kesiapan aplikasi VAR.Dari segi SDM, wasit-wasit yang memimpin pertandingan Liga Indonesia masih harus menjalani pelatihan dan mencapai standar tertentu.Sedangkan dari segi teknisi, tenaga yang ada di Indonesia saat ini belum menguasai aplikasi VAR. Sehingga jika harus menggunakan teknisi Indonesia, maka mereka harus dipersiapkan lebih matang lagi.Dengan berbagai kendala yang ada, Arya mengatakan aplikasi VAR mungkin baru akan dapat diterapkan tahun depan.Meski demikian, ia menyebut Ketua Umum, PSSI Erick Thohir telah meminta agar penerapan VAR dipercepat, dan dapat dilakukan pada pertengahan musim Liga 1 2023/2024, setidaknya untuk diuji coba.PSSI sudah pernah bersurat kepada FIFA untuk mengaplikasikan VAR pada Liga Indonesia musim 2023/2024. Hal itu disampaikan Erick Thohir saat saat melakukan pertemuan antara PSSI, PT Liga Indonesia Baru (LIB), dan distributor VAR pada 25 Mei.Implementasi VAR di Liga Indonesia merupakan salah satu janji Erick saat ia mencalonkan diri menjadi Ketua Umum PSSI masa kerja 2023-2027.Menurut Erick saat itu, implementasi VAR akan dapat membantu menghadirkan rasa aman bagi klub-klub sepak bola untuk berinvestasi lebih jauh dalam operasional mereka.Wacana yang berkembang, VAR akan mulai diimplementasikan di kompetisi sepak bola kasta tertinggi Tanah Air pada pertengahan musim 2023/2024.(Red/suara.com)","Senin 29 Mei 2023,    00:10 WIB",Sport
Pengedar Sabu di Lebak Diamankan Polisi,"LEBAK –Kedapatan memiliki narkotika jenis sabu, seorang pemuda berinisial MR (43) warga Rangkasbitung, Kabupaten Lebak, Banten, ditangkap polisi.Kasat Resnarkoba Polres Lebak, AKP Ngapip Rujit membenarkan jika anggotanya telah berhasil mengamankan seorang pemuda yang diduga sebagai bandar sabu.“Benar, pelaku MR diamankan di wilayah Kelurahan Rangkasbitung Timur, Kecamatan Rangkasbitung, pada hari Jumat 29 September 2023 sekira pukul 17.30 WIB,” kata Ngapip kepada awak media, Senin (2/10/2023).Ia mengungkapkan, dari tangan pelaku anggota berhasil mengamankan barang bukti berupa 1 buah plastik bekas, 1 buah bungkus rokok bekas yang di dalamnya terdapat 1 bungkus kristal bening yang diduga sabu, 14 bungkus paket sabu dengan berat 4,49 gram serta 1 buah handphone milik pelaku.“Saat ini pelaku beserta barang bukti sudah diamankan di Polres Lebak guna pengembangan lebih lanjut,” ujarnya.Ia menambahkan, untuk mempertanggungjawabkan perbuatannya pelaku dikenakan Pasal 114 ayat (1) atau Pasal 112 ayat (2).“Adapun hukuman yang dikenakan pada pelaku MR yakni paling singkat 5 tahun dan paling lama 20 tahun atau seumur hidup,” ucapnya.(San/Red)","Senin 2 Okt 2023,    17:07 WIB",hukum
Ade Armando Dapat Sanksi dari Ketum PSI Kaesang,"JAKARTA– Politisi Partai Solidaritas Indonesia (PSI) Ade Armando kembali menyita perhatian. Kali ini bukan soal pernyataan politisnya yang ‘menyerang’ tetapi lantaran mendapat sanksi dari Ketua Umum PSI Kaesang Pangarep.Sebelumnya, Kaesang saat bertemu dengan Puan Maharani menyatakan permintaan maaf bila ada kader PSI yang menyinggung PDIP.Permintaan maaf tersebut ternyata langsung ditindaklanjuti dengan memberi sanksi kepada sejumlah kader. Salah satunya Ade Armando.Pernyataan tersebut disampaikan Kaesang saat berada di Yogyakarta ketika bertemu dengan Ketua Pengurus Pusat (PP) Muhammadiyah Haedar Nashir pada Jumat (6/10/2023).Kaesang mengungkapkan telah menjatuhkan sanksi pertama kepada Ade Armando. Sanksi tersebut yakni meminta Ade Armando mentraktir kader PSI di DPP.“Untuk sementara kita suruh Bang Ade Armando untuk traktir kita di DPP, itu sanksi pertama. Ya, jangan sampai ada sanksi ke dua,” katanya di depan awak media.Menanggapi hal tersebut, Ade Armando kemudian membuat cuitan dengan mencantumkan salah satu link berita dari media online. Ia menuliskan ketekerjutan dan mengatakan hukuman yang dijatuhkan kepadanya merupakan hal yang berat.“Astagfirullah! Mas Kaesang kok tega banget! Apakah hukumannya harus seberat ini hanya gara-gara saya menyerang PDIP,” tulis Ade Armando melalui akun Twitter (atau X) pribadinya @adearmando61, Jumat (6/10/2023).Tentunya cuitan tersebut bukan sesuatu yang serius. Ade sendiri sebelumnya mengaku tunduk terhadap Ketum PSI karena sebagai anggota hanya bisa melakukan tugasnya.Tak perlu waktu lama, cuitan tersebut lantas memicu berbagai reaksi sindiran hingga gurauan dari netizen.“Keren sanksinya anak muda banget, disuruh traktir,” komen salah satu warganet.Sementara netizen lainnya pun mencoba menghitung berapa orang yang akan ditraktir Ade Armando di DPP PSI.“Traktir 8 orang sih paling cuma habis 800 rebu, gas Bang Ade,” tulis akun tersebut.Tak hanya itu, netizen lainnya malah ikutan mengejek dengan candaan.“Sukurin lu Bang, disuruh traktir, emang enak,” tulis akun lainnya. (Red)","Sabtu 7 Okt 2023,    09:12 WIB",Politik
Prabowo Masih Menunggu Bisa Bertemu Megawati,"JAKARTA– Bakal Calon Presiden Prabowo Subianto hingga saat ini masih ‘digantung’ oleh Ketua Umum PDIP Megawati Soekarnoputri terkait ajakan bertemu.Prabowo sudah berulang kali menyampaikan dirinya siap menemui Megawati jika dapat kesempatan.“Saya siap. Kalau dikasih waktu, saya sowan,” kata Prabowo di RSPAD Gatot Soebroto, Jakarta Pusat, Kamis (26/10/2023).Pertemuan dengan Megawati tengah ditunggu Prabowo. Terlebih kekinian Ketua Umum Partai Gerindra itu telah menggandeng Gibran Rakabuming Raka sebagai cawapres.“Saya lagi menunggu (waktu bertemu Megawati) masih,” tambah dia.Sebelumnya, Prabowo mengaku sudah berusaha berkali-kali untuk bisa bertemu dengan Megawati.Pertemuan itu seiring dengan langkah Prabowo menggaet kader PDIP, Gibran Rakabuming Raka menjadi bakal cawapres.Prabowo ingin bertemu dengan Megawati untuk berkomunikasi terkait langkahnya. Hingga kini upayanya berkali-kali untuk melakukan pertemuan itu tidak kunjung juga terealisasikan.“Saya sudah berusaha, berkali-kali saya sudah minta waktu, tapi belum dapat watu,” ujar Prabowo di Djakarta Theater, Selasa (24/10/2023)Kendati tidak kunjung bertemu hingga kekinian, Ketum Partai Gerindra itu mengaku tetap menunggu Megawati mau meluangkan waktunya.“Saya sudah cukup lama menunggu,” kata Prabowo. (Red)","Jumat 27 Okt 2023,    11:10 WIB",Politik
Porprov VI Banten di Kota Tangerang Resmi Dibuka,"TANGERANG– Gelaran Pekan Olahraga Provinsi (Porprov) VI Banten tahun 2022 yang berlangsung di Kota Tangerang mulai 20 – 29 November 2022 telah resmi dibuka.Pembukaan Porprov VI Banten berlangsung dengan lancar dan amat meriah, di mana acara diawali tampilan dari grup band NTRL mengiringi defile kontingen dari delapan kota kabupaten se-Provinsi Banten.Walikota Tangerang, Arief R Wismansyah dalam sambutannya mengungkapkan acara pembukaan Porprov menampilkan keanekaragaman budaya yang ada di Provinsi Banten yang digambarkan dalam tarian kolosal yang dipersembahkan oleh para ratusan penari dari berbagai sanggar yang ada di Kota Tangerang.“Terima kasih untuk saudara saudara dari berbagai kota kabupaten yang telah datang ke Kota Tangerang. Selamat menikmati suguhan budaya dari kami,” ungkap Wali Kota Dalam acara Pembukaan Porprov VI Banten di Stadion Benteng Reborn, Minggu (20/11/2022).Lebih lanjut Arief menjelaskan acara pembukaan Porprov VI Banten didukung dengan penampilan dari 1.450 pendukung acara, mulai dari penari hingga marching band.“Semoga bisa menjadi motivasi bagi para atlet untuk dapat menampilkan kemampuan terbaiknya,” terang Wali Kota.Penjabat (Pj) Gubernur Banten Al Muktabar menuturkan acara pembukaan Porprov VI Banten di Kota Tangerang digelar dengan luar biasa dengan berbagai suguhan yang menarik untuk masyarakat Banten.“Tak lupa untuk kebersamaan dari kepala daerah di Banten untuk bersama memajukan olahraga di Provinsi Banten,” tutup Al Muktabar.(Ril/Red)","Minggu 20 Nov 2022,    23:10 WIB",Sport
Prediksi Persita Tangerang vs Bhayangkara FC di BRI Liga 1,"BANTEN– Persita Tangerang dijadwalkan menghadapi Bhayangkara FC dalam laga pekan ke-24 BRI Liga 1 2022/2023. Sesuai jadwal duel ini digelar di Indomilk Arena, Tangerang, Sabtu (11/2/2023) 15.00 WIB.Dari segi perolehan posisi di klasemen Persita lebih baik ada di peringkat 12 dengan 27 poin. Namun, performa mereka sedang tidak bagus karena tidak bisa menang dalam tujuh pertandingan terakhir.Sementara Bhayangkara FC di posisi 14 dengan 26 poin perlahan bisa bangkit. Mereka sukses memenangi dua pertandingan secara beruntun yang tentu menjadi alarm bagi Persita.The Guardian punya peluang melewati Persita andai bisa menang di laga nanti. Tentu saja itu menjadi motivasi tersendiri bagi Sani Rizki dan kawan-kawan.Hanya saja memang Bhayangkara FC belum memiliki pelatih kepala usai diberhentikannya Widodo Cahyono Putro. Untuk sementara mereka ditangani oleh Agus Sugeng yang sebelumnya menjabat sebagai asisten.Tapi, Bhayangkara FC punya senjata andalan setelah dua pemain asing baru yang dimiliki, Alex Martins dan Matias Mier langsung nyetel dengan tim.Alex Martins bisa mencetak dua gol dari dua laga, sedangkan Matias Mier punya empat gol dan satu assist dari empat pertandingan yang sudah dilalui.Persita tentu harus memanfaatkan status tuan rumah untuk bisa memenangi pertandingan. Jika tidak mereka akan terus merosot di posisi klasemen. (Red)","Sabtu 11 Feb 2023,    13:02 WIB",Sport
Atlet Kabupaten Tangerang Peraih Medali Porprov Banten VI Terima Bonus,"KAB. TANGERANG– Atlet Kabupaten Tangerang peraih medali di Pekan Olahraga Provinsi dan Pekan Paralympic Provinsi Tahun 2022 sumringah setelah mendapat bonus dari Pemerintah Kabupaten (Pemkab) Tangerang. Penghargaan diserahkan Bupati Tangerang Ahmed Zaki Iskandar di Hotel Yasmin, Kabupaten Tangerang, Selasa (31/1/2023).Pemkab Tangerang menggelontorkan dana Rp14,5 miliar untuk 485 atlet peraih medali di Porporv Banten 2022 dengan rincian 167 medali emas, 150 perak dan 168 perunggu.Sedangkan prestasi Kabupaten Tangerang pada Pekan Paralympic Provinsi yang sukses meraih Juara Umum,  Pemerintah Kabupaten Tangerang menggelontorkan dana Rp2.434 miliar untuk 162 atlet dengan rincian emas sebanyak 48 medali emas, 33 medali perak dan 7 perunggu. Kemudian untuk pelatih dan Official total Rp3 juta. Dana tersebut didapat dari dana Hibah Disporabudpar Th. 2023.Perwakilan atlet Anggar, Adinda mengaku bangga bisa meraih juara dan mengangkat nama Kabupaten Tangerang di Pekan Olahraga Provinsi Banten Ke-VI.“Perasaan pasti bangga banget terus senang lah, dari pelatih dan official juga senang semua karena bisa mendapatkan medali emas. Pastinya kita bangga mengangkat nama Kabupaten Tangerang,” ucapnya.Selain itu, atlet angkat berat 140 Kilogram Dwi Indah Ardianti yang meraih dua medali emas di ajang Pekan Olahraga Provinsi Banten Ke-VI menyatakan rasa terima kasih atas apresiasi yang telah diberikan. Indah pun mengatakan akan memberikan hasil yang lebih maksimal di ajang olahraga selanjutnya.“Saya ingin menyampaikan terima kasih yang sebanyak-banyaknya untuk Pemerintah Kabupaten Tangerang, untuk Pak Bupati Ahmed Zaki Iskandar khususnya, sudah mengapresiasi atlet sebaik ini. Semoga di event-event selanjutnya kita bisa memberikan yang terbaik, yang lebih maksimal yang kita bisa,” ujarnya.Kami haturkan Terima kasih Juga pada Bapak Moch. Maesyal Rasyid ( Sekda Kab. Tangerang), Ketua DPRD dan Anggota DPRD Kab. Tangerang, Ketua KONI, Ketua NPC, Ibu Kepala Disporabudpar dan Para Asisten Daerah Kabupaten Tangerang yg telah memberikan Apresiasi yg luar biasa pada pelaku Olahraga yg berprestai di Kabupaten Tangerang.(Ril/Red)","Rabu 1 Feb 2023,    09:09 WIB",Sport
"Persib Bandung Bidik Tiga Poin, Persija Jakarta Andalkan Pemain Timnas","JAKARTA– Pertandingan Liga 1 Indonesia antara Persija Jakarta vs Persib Bandung bakal berlangsung di Stadion Patriot Candrabhaga, Bekasi, Jumat (31/3/2023) malam sekira pukul 20.30 WIB.Pertandingan Persija Jakarta vs Persib Bandung malam ini tentu akan menjadi lagi yang sangat dinantikan. Keduanya bakal total memperebutkan kemenangan.Saat ini Persib Bandung berada di posisi ke-2 klasemen sementara Liga 1 Indonesia dengan torehan 59 poin dari 30 pertandingan, terpaut 10 poin dari PSM Makassar yang menempati peringkat pertama.Karenanya, baik Persija maupun persib sangat membutuhkan tiga poin tambahan hasil pertandingan malam ini. Kedua tim tentu sudah mempersiapkan sebaik mungkin untuk menjalani lagi kali ini.Persib Incar 3 PoinPelatih Persib Bandung, Luis Milla memastikan timnya bakal menampilkan permainan menghibur saat melawan Persija Jakarta.Dilansir dari Antara, Milla berharap anak asuhnya memberikan penampilan terbaik agar bisa menghibur suporter Persib Bandung di rumah.Laga Persib Bandung kontra Persija Jakarta malam ini akan digelar dengan penonton, namun pendukung Persib Bandung tidak diperkenankan hadir ke stadion.“Yang lebih penting bagi Bobotoh bukan hanya raihan tiga poin, tapi juga bagaimana pertandingan berlangsung dan kami bermain bisa menghibur mereka,” ungkap pelatih asal Spanyol.Tak hanya tempil menghibur, Milla menjelaskan timnya tentu membidik tiga poin ketika berhadapan dengan skuad Macan Kemayoran.Menurut Milla, pertandingan kali ini merupakan ajang bergengsi yang dimainkan oleh dua tim besar sehingga kemenangan tentu menjadi hal yang penting.Kemenangan atas Persija juga membuat Persib menjaga asa mereka meraih gelar juara Liga 1 Indonesia musim ini dan jika Maung Bandung gagal mengamankan tiga poin, PSM Makassar dipastikan akan keluar sebagai juara.“Persija adalah tim besar dan besok akan menjadi pertandingan yang penting. Bagi saya, ini juga jadi motivasi para pemain dan pelatih untuk menunjukkan sesuatu kepada suporter,” ungkap Milla.Pemain Timnas Jadi Andalan PersijaDalam pertandingan malam ini, Persija Jakarta menyebut para pemain timnas dapat diandalkan untuk pertandingan Liga 1 melawan Persib Bandung.Seperti diketahui, terdapat enam pemain Persija yang dipanggil PSSI untuk memperkuat timnas saat melawan Burundi. Pada dua pertandingan FIFA match day yang dimainkan pada 25 dan 28 Maret 2023 silam.Keenam pemain tersebut yakni, Hansamu Yama, Muhammad Ferrari, Witan Sulaiman, Syahrian Abimanyu, Dony Tri Pamungkas, dan Riko Simanjuntak.“Pertama-tama kami senang para pemain timnas kami telah kembali dalam kondisi sehat, mereka berlatih dengan baik. Kami telah berlatih kemarin dan mereka siap. Mereka melakukan sesi latihan pertama (kemarin), sesi latihan kedua pada hari ini,” kata pelatih fisik Persija Paul Keenan saat konferensi pers prapertandingan di Stadion Patriot Candrabhaga, Bekasi dikutip dari Antara.Menurut Paul, Persib akan menjadi lawan cukup berat. Tak hanya karena faktor rivalitas, Maung Bandung kini di bawah asuhan pelatih Luis Milla yang juga menghuni posisi kedua klasemen.Pertandingan Persija Jakarta vs Persib ini dapat dihadiri oleh penonton. Karenanya, Paul berharap para penonton, khususnya pendukung Persija Jakarta, dapat berduyun-duyun mendatangi Stadion Patriot Candrabhaga untuk menyaksikan laga secara langsung.“Kami juga gembira dengan berita bahwa penggemar kami boleh datang ke stadion dan ini merupakan pertandingan penting. Seandainya terdapat kehadiran penggemar, kami menjadi lebih kuat. Maka kami minta mereka datang kemari dan membantu kami dan mendukung kami sebagaimana yang selalu mereka lakukan, dan kami lebih kuat dibanding mereka,” kata mantan pelatih fisik timnas Sipurs itu. (Red)","Jumat 31 Mar 2023,    13:04 WIB",Sport
Perhutani Bersama Polri dan Kejaksaan Negeri Tindak Tegas Penambangan Pasir Kuarsa...,"LEBAK– Perum Perhutani Kesatuan Pemangku Hutan (KPH) Banten bersama Polri dan Kejaksaan Negeri bekerjasama dalam penegakan hukum terkait kasus penambangan pasir kuarsa (Ilegal mining) milik PT Trimitra Jaya Mineralindo yang melakukan penambangan di petak 31 A RPH Panyaungan Timur yang berlokasi di Desa Karangkamulyan, Kecamatan Cihara, Kabupaten Lebak, Banten.Administratur KPH Banten, Sukidi menyampaikan, jika lokasi tersebut berdasarkan Surat Keputusan Menteri LHK Nomor 287/MENLHK/SETJEN/PLA.2/4/2022 tanggal 5 April 2022 tentang penetapan kawasan hutan dengan pengelolaan khusus pada sebagian hutan negara yang berada pada kawasan hutan produksi dan hutan lindung. Dimana kawasan hutan pengawasannya masih dilakukan oleh Perum Perhutani.“Akan tetapi, PT Trimitra Jaya Mineralindo masih saja melakukan kegiatan tambang pasir dikawasan perhutani tersebut walaupun belum mendapatkan persetujuan dari Kementerian LHK,” kata Sukidi dalam rilisnya, Kamis (14/9/2023).Ia menjelaskan, sejak awal Perhutani telah mengambil tindakan pencegahan kegiatan tambang pasir ilegal. Mulai dari surat peringatan pertama yang dilayangkan oleh Perhutani BKPH Bayah kepada PT Trimitra Jaya Mineralindo agar segera mengeluarkan alat-alat berat yang berada di kawasan hutan dan dilarang melakukan aktivitas dalam bentuk apapun.“Bahkan berdasarkan kegiatan patroli keamanan hutan yang dilakukan oleh Perhutani bersama Polisi Kehutanan (Polhut) KPH Banten menemukan barang bukti berupa 8 buah penampung air, 1 buah pompa air dan 1 unit alat berat berupa Beko dilahan Perhutani yang digunakan sebagai tambang pasir,” ujarnya.Ia mengungkapkan, selanjutnya pihaknya membuat laporan pengaduan kepada pihak kepolisian terkait adanya dugaan pengrusakan hutan akibat adanya aktivitas penambangan pasir kuarsa ilegal. Bahkan kita juga melayangkan surat peringatan untuk kedua kalinya kepada PT Trimitra Jaya Mineralindo yang berisi pemberhentian aktivitas galian pasir kuarsa ilegal dan agar segera mengeluarkan seluruh peralatan/sarana tambang dari kawasan hutan.“Dari bukti-bukti yang telah dikumpulkan, Direktorat Reserse Kriminal Khusus (Ditreskrimsus) Kepolisian Daerah (Polda) Banten, berhasil menangkap pelaku yang diduga aktor penambangan pasir kuarsa illegal dari PT Trimitra Jaya Mineralindo,” imbuhnya.Ia menambahkan, sebagai tindak lanjut, Perhutani membantu proses penyelidikan dengan memberikan keterangan ahli dalam dugaan tindak pidana pencegahan dan pemberantasan perusakan hutan dan atau tindak pidana pertambangan mineral dan batubara yang terjadi di kawasan hutan Perum Perhutani KPH Banten.“Perkembangan atas kasus tersebut saat ini sudah masuk kedalam ranah Kejaksaan Tinggi (Kajati) Banten. Kedepannya Perhutani KPH Banten akan terus meningkatkan penjagaan dan pengawasan terhadap segala aktivitas gangguan keamanan hutan dan meningkatkan koordinasi dengan Polda Banten, Kejati Banten dan steakholder yang lainnya,” ucapnya.(San/Red)","Kamis 14 Sep 2023,    16:02 WIB",hukum
Ini Daftar 24 Negara yang Lolos Piala Dunia U-17 di Indonesia,"BANTEN– Federasi sepak bola dunia FIFA menunjuk Indonesia sebagai tuan rumah Piala Dunia U-17 2023. Pengumuman penunjukan tersebut dilakukan setelah FIFA menggelar council meeting pada Jumat malam, 23 Juni 2023. Berdasarkan agenda FIFA, Piala Dunia U-17 digelar pada 10 November-2 Desember 2023.“Piala Dunia U-17 tahun ini (2023) akan digelar di Indonesia,” tulis FIFA melalui akun Twitter resminya, @FIFAcom, seperti dikutip pada Sabtu, 24 Juni 2023.Sebanyak 24 negara telah dipastikan berlaga di Piala Dunia U-17. Zona Asia diwakili Indonesia (tuan rumah), Jepang, Iran, Korea Selatan, dan Uzbekistan. Dari Afrika ada Burkina Faso, Mali, Maroko, serta Senegal. Sedangkan Kanada, Meksiko, Panama, dan Amerika Serikat mewakili zona Concacaf (Amerika Utara).Amerika Selatan (CONMEBOL) diwakili Argentina, Brasil, Ekuador, serta Venezuela. Eropa mengirim lima wakilnya ke Piala Dunia U-17, yakni Inggris, Prancis, Jerman, Polandia, dan Spanyol. Sedangkan dua negara lain berasal dari Oseania: Kaledonia Baru dan Selandia Baru.Berikut ini 24 negara yang lolos Piala Dunia U-17 2023.1. Indonesia (tuan rumah)2. Iran3. Korea Selatan4. Uzbekistan5. Jepang6. Burkina Faso7. Mali8. Maroko9. Senegal10. Kanada11. Meksiko12. Panama13. Amerika Serikat14. Argentina15. Brasil16. Ekuador17. Venezuela18. Inggris19. Prancis20. Jerman21. Polandia22. Spanyol23. Kaledonia Baru24. Selandia Baru(Red)","Sabtu 1 Jul 2023,    11:14 WIB",Sport
"Modali Pacar, Kepala BPKAD Kabupaten Serang: Saya Tandatangani Kwitansi Kosong","SERANG– Jaksa Penuntut Umum (JPU) Kejari Serang menuturkan jika alasan mantan Kepala BPKAD Kabupaten Serang Sarudin tidak masuk akal. Ia meminta uang kepada pengusaha Rp 400 juta demi membiayai proyek kekasihnya, Resti Dian Aini, dari perusahaan CV RDA.Uang tersebut akan digunakan sebagai modal CV RDA milik Resti yang dipilih oleh terdakwa dalam proyek penyedia mebeler di BPKAD pada 2017 lalu. Sarudin kemudian membantah jika dirinya menerima uang tersebut dan hanya menjadi saksi dalam pertemuan Resti dan Ivan seorang pengusaha yang akan dipinjami uang total Rp400 juta dan dijanjikan keuntungan 15 persen.Dalam fakta di persidangan diketahui jika terdakwa sempat mendatangani kwitansi bukti penerimaan uang tersebut saat dirinya, Resti dan Ivan bertemu. Namun dirinya berdalih kwitansi tersebut kosong saat dirinya mendatangani.JPU kemudian mengatakan jika alasan tersebut tidaklah masuk akal karena melihat dari latar belakang pelaku sebagai pejabat Eselon III seharusnya dirinya sudah pasti mengetahui akibat hukum perbuatannya tersebut.“Bahwa tidaklah mungkin dan tidak logis terdakwa selaku Sekretaris BPKAD yang merupakan pejabat eselon III a dan latar belakang pendidikan terdakwa strata 2 dengan pengalaman pekerjaan sebagai PNS selama kurang lebih 24 tahun, yang sangat dipastikan mengetahui apa konsekuensi hukum dari apa yang ia tandatangani sehingga tidak logis alasan terdakwa menandatangani kwitansi kosong,” kata JPU Mulyana dalam persidangan.Sarudin juga sempat membantah bahwa dirinya menerima uang tersebut serta menjanjikan 15 persen dari proyek mebeler. Ia mengatakan jika dirinya hanya menjadi saksi pertemuan saat Resti meminjam uang kepada Ivan untuk CV RDA milik Resti.Tapi kemudian saat ditanya kenapa dirinya membayar hutang Rp400 juta tersebut kepada Ivan dirinya berdalih jika alasannya agar urusan tersebut cepat selesai dan tidak merembet ke mana-mana.“Tidaklah sangat logis seharusnya tindakan terdakwa yang saat itu hanya melihat pinjaman (menjadi saksi) saudara Resti kepada saksi Ivan seharusnya terdakwa melaporkan saudara Resti ke Kepolisian, bukan membayar hutang orang lain yang jumlahnya sangat besar yaitu Rp400 juya,” ujar Jaksa.Sebelumnya, mantan Kepala BPKAD Serang, Sarudin dituntut 4 tahun penjara atas kasus gratifikasi sebesar Rp 400 juta. Duit itu digunakan Sarudin untuk membiayai proyek pacarnya, Restia Dian Aini, dari perusahaan CV RDA.Tuntutan dibacakan Jaksa Penuntut Umum (JPU) Kejari Serang di Pengadilan Negeri Serang pada sidang yang dipimpin ketua majelis Hakim Nelson Angkat. “Menuntut terdakwa Sarudin dengan pidana penjara selama 4 tahun,” kata JPU Endo Prabowo.(Dra/Red)","Selasa 24 Okt 2023,    16:41 WIB",hukum
Ustaz Abdul Somad Bahas Hukum Menerima Uang Serangan Fajar di Pemilu...,"SERANG– Ustaz kondang Abdul Somad atau yang lebih dikenal dengan nama UAS ikut buka suara terkait serangan fajar dalam Pemilihan Umum (Pemilu). Praktik ini merupakan salah satu upaya yang dilakukan calon kandidat agar terpilih. Caranya, dengan memberikan uang.Melihat dari kanal YouTube Shaquille Kicau Channel, jemaah yang hadir dalam kajian bertanya soal hukum menerima uang dari Pemilu 2024. UAS menjawab bahwa hal itu menyimpang dari ajaran Islam sehingga perlu dihindari. Berikut kelima faktanya.Ambil Uangnya dan Jangan CoblosUAS mengatakan bahwa seseorang dapat mengambil uangnya jika diberi serangan fajar dari calon tertentu. Namun, ia menyarankan dengan tegas, jangan sampai ikut mencoblos orangnya. Hal ini pun kemudian disetujui seluruh jemaah yang hadir.“Ambil uangnya, tapi jangan coblos orangnya, setuju?” kata UAS yang disetujui oleh semua jemaahnya.Uangnya DisedekahkanLebih lanjut, Ustaz Abdul Somad mengatakan bahwa uang dari serangan fajar jangan dipakai untuk diri sendiri. Ia kembali menyarankan jika dana suap itu bisa disedekahkan. Misal, diserahkan kepada anak yatim, fakir miskin, atau panti jompo.“Ambil uangnya, serahkan ke panti jompo, anak yatim, fakir miskin, setuju?” kata UAS lagi.Serangan Fajar Hukumnya HaramUstaz Abdul Somad juga mengingatkan bahwa praktik money politic itu hukumnya haram. Oleh karenanya, masyarakat tidak seharusnya menerima uang dari serangan fajar tersebut. Tidak peduli berapapun besaran yang diberikan.“Jangan! Sekali haram tetap haram. Hindari money politic, hindari hate speech, hoaks. Wujudkan Pileg dan Pilpres aman damai sejahtera menuju Indonesia yang berdaulat,” ujarnya.Pihak Terlibat Bisa DilaknatTak hanya sampai disitu, dalam kesempatan itu, Ustaz Abdul Somad pun menjelaskan praktik money politic sebagai perbuatan yang dilaknat oleh Rasulullah SAW. Di mana pihak yang memberi dan menerima uang politik akan menanggung dosa tersebut.“Yang menyogok, menerima sogok, yang menyuap, menerima suap, semua akan dilaknat Rasulullah SAW,” seru Ustaz Abdul Somad.Oleh karena itu, UAS kembali menegaskan agar masyarakat tidak menerima serangan fajar dalam rangka Pemilu 2024 mendatang. Hal ini, berlaku untuk berapapun nominalnya maupun seberapa besar godaannya, apalagi jika sedang butuh.Imbau agar BertaubatKepada pihak-pihak yang memberi dan menerima suap Ustaz Abdul Somad pun menyampaikan imbauan. Ia meminta agar mereka yang masih melakukannya, segera bertaubat. Ia berharap orang-orang itu masih mengingat adanya dosa dari sana.“Ubah dengan tangan, dengan lisan, dan hati, jangan ikut-ikutan. Taubat nasuha, mandi taubat, perbaiki, beramal salih, bersedekah, tolong syariat Allah, bangkitkan syariat Islam, beramar ma’ruf nahi munkar,” ucap Ustaz Abdul Somad.(Red/suara.com)","Minggu 6 Agu 2023,    06:12 WIB",Politik
